Date,language_learner,established_scholar,university_academic,language_teacher,language_teacher_secondary,language_teacher_adult_edu,language_teacher_private,language_teacher_other,language_teacher_primary,language_teacher_pre_elementary,test_developer,mid_career,materials_developer,professional_development_provider,teacher_educator,student,masters,early_career,language_teacher_tertiary,other,parent,media,phd,ncelp_hub_school_teacher,ncelp_specialist_teacher,undergraduate,policy_maker
2019-07-26,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-27,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,0,0,0,20,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29,0,0,0,8,3,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0,1,0,0,0,0,0
2019-07-30,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31,0,1,1,7,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,3,0,0,16,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-02,0,0,0,6,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-05,0,1,1,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-06,0,0,0,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-07,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-08-08,0,0,0,10,4,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-09,1,0,0,16,8,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-10,4,0,0,4,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,0,0,7,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2019-08-12,0,0,1,102,21,15,15,1,16,15,0,0,0,0,17,0,0,1,1,0,0,0,0,0,0,0,0
2019-08-13,0,0,1,11,5,0,0,0,1,0,0,0,0,0,2,3,1,1,0,1,0,0,1,0,0,0,0
2019-08-14,1,0,1,7,4,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-15,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-08-16,0,0,1,12,2,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2019-08-17,0,0,0,7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-18,0,0,0,8,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2019-08-19,0,1,2,53,25,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2019-08-20,1,0,0,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2019-08-21,0,0,0,14,7,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-22,0,0,0,10,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-23,0,0,0,12,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2019-08-24,0,0,1,14,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-25,0,0,0,22,9,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-26,0,0,0,9,5,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0
2019-08-27,0,0,0,7,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-28,0,0,0,14,7,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-29,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-30,1,1,2,17,9,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2019-08-31,0,0,0,17,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,0,0,1,22,10,0,0,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0
2019-09-02,1,0,0,13,4,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2019-09-03,2,0,0,35,18,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-04,0,0,0,21,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-09-05,3,0,0,21,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2019-09-06,0,0,0,27,12,0,0,0,3,0,2,0,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0
2019-09-07,2,0,0,13,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2019-09-08,0,0,0,22,11,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,1,0,0
2019-09-09,2,0,0,31,13,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0
2019-09-10,2,0,0,12,7,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-09-11,1,1,1,28,12,0,0,0,0,1,0,0,2,0,3,1,0,0,1,0,1,1,1,0,1,0,0
2019-09-12,0,2,4,23,8,1,0,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2019-09-13,0,0,0,41,18,0,0,1,1,0,1,0,1,0,3,4,2,0,0,0,0,2,0,0,0,0,0
2019-09-14,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-15,0,0,0,7,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0
2019-09-16,0,1,2,21,10,0,0,0,0,0,3,0,3,1,4,0,0,0,1,0,0,1,0,2,0,0,0
2019-09-17,2,0,0,16,6,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0
2019-09-18,0,1,2,16,7,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019-09-19,1,0,0,18,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0
2019-09-20,1,0,0,12,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-22,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-23,5,0,0,21,9,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0
2019-09-24,1,0,0,23,12,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,2,0,0,0
2019-09-25,2,0,2,25,11,1,1,1,0,0,0,0,1,0,2,6,3,1,1,0,0,0,0,1,1,0,0
2019-09-26,0,2,2,20,10,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0
2019-09-27,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-09-28,0,0,0,12,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-29,0,0,0,13,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-30,0,0,1,17,9,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-10-01,2,0,0,16,7,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2019-10-02,0,0,1,14,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-10-03,1,0,0,5,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0
2019-10-04,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-05,1,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-06,0,0,0,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-07,1,1,1,24,10,1,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,1,0,3,2,0,0
2019-10-08,0,0,0,20,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-09,4,0,1,30,10,1,1,0,3,0,0,0,1,0,3,2,1,1,0,0,0,0,0,1,0,0,0
2019-10-10,0,1,1,54,15,0,8,0,6,1,0,0,1,0,3,0,0,0,0,0,0,0,0,6,0,0,0
2019-10-11,0,0,0,21,7,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-12,0,0,0,6,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-13,0,0,0,9,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
2019-10-14,5,0,1,77,30,3,0,2,4,0,0,1,3,1,3,7,3,0,1,2,1,0,0,2,2,0,0
2019-10-15,3,0,2,43,18,0,1,0,1,0,0,0,7,1,6,0,0,1,0,0,0,0,0,0,1,0,1
2019-10-16,2,0,0,39,25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2019-10-17,1,0,0,32,16,0,0,0,1,0,0,0,2,0,1,3,1,0,0,0,0,0,1,0,0,1,0
2019-10-18,1,0,2,23,7,0,0,1,2,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0
2019-10-19,0,0,1,8,4,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
2019-10-20,0,0,0,13,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-10-21,7,0,0,44,19,0,0,0,2,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0
2019-10-22,0,1,2,21,7,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
2019-10-23,2,0,0,39,17,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,1,0,0,7,0,0,0
2019-10-24,2,0,0,21,6,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-25,0,0,2,14,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-10-26,0,0,0,9,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-28,0,0,0,5,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-29,0,0,0,22,11,0,0,1,0,0,0,0,1,0,1,5,0,0,1,1,0,0,0,0,0,4,0
2019-10-30,1,0,2,12,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2019-10-31,0,0,1,11,4,0,0,0,0,0,0,1,0,0,3,6,2,0,2,0,0,0,2,0,0,2,1
2019-11-01,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-11-02,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
